"gender","grad_year","transfer","major","minor","returning_member","intern_job_count","Java","Python","R","SQL","C.C..","JavaScript.TypeScript","Languages","NumPy","Pandas","SciPy","Scikit.learn","PyTorch","Tensorflow","Math.4A","CS.9","Calculus.Math.3A.Math.3B.AP.Calc","Math.6A","Math.8.PSTAT.8.CS.40","PSTAT.10","PSTAT.120A","PSTAT.120B","PSTAT.126","PSTAT.160A.160B","Math.117","PSTAT.131","Math.108A","CS.165A.165B","PSTAT.135","Career.fair","Professional.workshops","Technical.workshops","Company.talks...Data.talks","Social.events","Project.groups","Events","Career.Goal","Tableau","Power.BI","Matplotlib","SAS","Looking_for_internship","Looking_for_full_time","internship_or_full_time","Prefer.Remote","Top.desired.location","Top.desired.state","Industry.Preferences","Number.of.completed.data.science.projects","Data_Science_Technologies","research_job_count","Data.Science.Skills","Merged_Languages","Courses","Packages","ID"
"Female",2027,"No","Statistics & Data Science","","No",2,"No","Yes","Yes","No","Yes","No","Python, R, C.C..","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Scientist","No","Yes","Yes","Yes","Yes","No","internship","Remote","United States","Michigan","Healthcare",0,"Excel, Spark, Apache Kafka, AWS (Amazon Web Services), SAS, RapidMiner, Alteryx, BigQuery, Hive",0,"Deep Learning, Natural Language Processing, Predictive Analytics, Data Wrangling","Python, R, C.C.., SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, PSTAT.10, CS.165A.165B","NumPy, Pandas, SciPy",255
"Male",2026,"Yes","Statistics & Data Science","","No",0,"Yes","Yes","Yes","No","No","No","Java, Python, R","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Analyst","Yes","No","No","Yes","Yes","No","internship","Remote","United States","North Carolina","Tech",1,"Power BI, Airflow, Jupyter Notebook, Snowflake",1,"","Java, Python, R, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A","Pandas",256
"Male",2028,"No","Computer Science/Computer Engineering","","No",1,"Yes","Yes","No","No","Yes","Yes","Java, Python, C.C..","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Engineer","Yes","No","Yes","No","Yes","No","internship","No preference","United Kingdom","","Tech",6,"Spark, Apache Kafka, Airflow, Azure, SAS, D3.js, Alteryx, BigQuery, Hive, Snowflake",3,"Data Visualization, Machine Learning","Java, Python, C.C..","","",257
"Female",2026,"No","Statistics & Data Science","","Yes",0,"Yes","Yes","Yes","Yes","No","Yes","Java, Python, R, SQL","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes","Yes","No","Yes","Career.fair, Technical.workshops, Company.talks...Data.talks, Project.groups","Data Analyst","Yes","Yes","Yes","Yes","Yes","No","internship","No preference","United States","Illinois","Tech",4,"Power BI, Hadoop, Airflow, Azure, SAS, D3.js, BigQuery, Snowflake",3,"Natural Language Processing","Java, Python, R, SQL, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, PSTAT.160A.160B, PSTAT.131","NumPy, Pandas, Scikit.learn",258
"Male",2025,"Yes","Statistics & Data Science","","No",0,"No","Yes","Yes","No","No","No","Python, R","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events","Data Engineer","Yes","Yes","Yes","Yes","No","Yes","full time","No preference","United States","North Carolina","Tech",6,"Power BI, Hadoop, SAS",4,"Data Visualization, Machine Learning, Predictive Analytics","Python, R, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, PSTAT.10, PSTAT.120A","Pandas",259
"Male",2027,"No","Economics/Economics & Accounting, Statistics & Data Science","","No",3,"No","Yes","No","No","No","No","Python","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Engineer","Yes","No","Yes","Yes","Yes","No","internship","No preference","United States","Georgia","Tech",3,"Tableau, Power BI, Excel, Hadoop, Airflow, AWS (Amazon Web Services), GCP (Google Cloud Platform), SAS, SPSS, Jupyter Notebook, Alteryx, BigQuery",2,"Deep Learning, Data Wrangling","Python, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc","",260
"Female",2024,"No","Statistics & Data Science","","Yes",1,"No","Yes","Yes","Yes","No","No","Python, R, SQL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","No","Yes","Career.fair, Company.talks...Data.talks, Project.groups","Data Engineer","No","Yes","No","Yes","No","Yes","full time","In person","Australia","","Tech",3,"Tableau, BigQuery",3,"Machine Learning","Python, R, SQL, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, PSTAT.160A.160B, Math.117, PSTAT.131","NumPy, Pandas, SciPy, Scikit.learn, PyTorch, Tensorflow",261
"Female",2025,"No","Mathematics/Applied Mathematics","","No",2,"No","Yes","No","No","No","No","Python","Yes","Yes","No","No","No","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Project.groups","Data Scientist","No","Yes","No","Yes","No","Yes","full time","In person","United States","Michigan","Manufacturing",2,"Tableau, Power BI, Apache Kafka, GCP (Google Cloud Platform), SPSS, Jupyter Notebook, RapidMiner, Hive",0,"Predictive Analytics","Python, SAS","Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, Math.117, Math.108A","NumPy, Pandas, Tensorflow",262
"Female",2028,"No","Statistics & Data Science","","No",2,"Yes","Yes","No","No","No","No","Java, Python","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Analyst","No","No","No","Yes","Yes","No","internship","Remote","United Kingdom","","Tech",1,"Power BI, Apache Kafka, Airflow, GCP (Google Cloud Platform), SPSS, D3.js, RapidMiner, Alteryx",2,"Data Visualization","Java, Python, SAS","CS.9","",263
"Female",2028,"No","Statistics & Data Science","","No",1,"No","No","No","No","No","No","","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Analyst","No","Yes","No","No","Yes","No","internship","Remote","United States","Ohio","Tech",5,"Power BI, AWS (Amazon Web Services), Azure, Alteryx, Snowflake",4,"Data Wrangling","","","",264
"Male",2025,"No","Statistics & Data Science","","Yes",3,"Yes","Yes","Yes","Yes","No","No","Java, Python, R, SQL","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Project.groups","Data Engineer","No","Yes","Yes","No","No","Yes","full time","In person","Canada","","Tech",3,"Tableau, Jupyter Notebook, Hive",3,"Data Visualization, Deep Learning, Predictive Analytics","Java, Python, R, SQL","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, PSTAT.160A.160B, Math.117, PSTAT.131","NumPy, Pandas, Scikit.learn, PyTorch, Tensorflow",265
"Male",2028,"No","Computer Science/Computer Engineering","Undecided","No",0,"Yes","Yes","No","No","Yes","No","Java, Python, C.C..","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Scientist","No","No","Yes","Yes","Yes","No","internship","Remote","United Kingdom","","Tech",3,"Tableau, Excel, Azure, Databricks, SPSS, RapidMiner, Snowflake",2,"Machine Learning, Deep Learning, Natural Language Processing, Data Wrangling","Java, Python, C.C.., SAS","Calculus.Math.3A.Math.3B.AP.Calc","",266
"Female",2025,"No","Statistics & Data Science","","No",2,"No","Yes","Yes","No","No","No","Python, R","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","Yes","No","No","Yes","No","No","Career.fair, Company.talks...Data.talks","Data Engineer","Yes","Yes","Yes","No","No","Yes","full time","No preference","United Kingdom","","Tech",0,"Excel, Databricks, SPSS, Hive",2,"Data Visualization, Deep Learning","Python, R","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, Math.117, PSTAT.131","NumPy, Pandas",267
"Male",2027,"No","Statistics & Data Science","","No",2,"Yes","Yes","Yes","Yes","No","No","Java, Python, R, SQL","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Scientist","Yes","No","No","Yes","Yes","No","internship","In person","Canada","","Tech",6,"Power BI, Excel, Hadoop, Azure, SAS",3,"Data Visualization, Deep Learning, Predictive Analytics","Java, Python, R, SQL, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B","NumPy, Pandas, SciPy, PyTorch",268
"Female",2028,"No","Statistics & Data Science","","No",1,"Yes","Yes","No","No","No","No","Java, Python","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events","Data Analyst","No","Yes","Yes","Yes","Yes","No","internship","No preference","Canada","","Finance",3,"Tableau, Power BI, Excel, GCP (Google Cloud Platform), Azure, SAS, D3.js, BigQuery, Hive",4,"Machine Learning, Deep Learning, Natural Language Processing, Data Wrangling","Java, Python, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc","",269
"Male",2025,"No","Statistics & Data Science","","Yes",0,"No","Yes","Yes","No","No","No","Python, R","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Project.groups","Data Scientist","Yes","Yes","Yes","No","No","Yes","full time","Remote","Canada","","Finance",4,"Power BI, Hadoop, Spark, Apache Kafka, Jupyter Notebook, D3.js, RapidMiner",4,"Machine Learning, Natural Language Processing","Python, R","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, PSTAT.160A.160B, PSTAT.131","NumPy, Pandas",270
"Female",2026,"No","Statistics & Data Science","","Yes",1,"Yes","Yes","Yes","Yes","No","No","Java, Python, R, SQL","No","No","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","No","Yes","No","No","Yes","No","No","Career.fair, Company.talks...Data.talks","Data Analyst","Yes","Yes","Yes","No","Yes","No","internship","No preference","Canada","","Healthcare",7,"Tableau, Power BI, Excel, SAS, RapidMiner, BigQuery",0,"Data Visualization, Machine Learning, Natural Language Processing","Java, Python, R, SQL","CS.9, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, Math.108A","",271
"Male",2025,"Yes","Mathematics/Applied Mathematics","","Yes",1,"No","Yes","Yes","Yes","No","No","Python, R, SQL","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Scientist","No","Yes","Yes","No","No","Yes","full time","No preference","Germany","","Tech",3,"Azure, Jupyter Notebook, Alteryx, BigQuery, Hive",0,"Data Visualization, Machine Learning, Deep Learning, Data Wrangling","Python, R, SQL","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, Math.117, Math.108A","NumPy",272
"Male",2028,"No","Mathematics/Applied Mathematics","","No",0,"Yes","Yes","No","No","No","Yes","Java, Python","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Engineer","Yes","No","No","No","Yes","No","internship","Remote","United States","Ohio","Tech",5,"Power BI, Hadoop, Airflow, AWS (Amazon Web Services), RapidMiner",3,"","Java, Python","Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, Math.108A","NumPy, Pandas",273
"Male",2024,"Yes","Statistics & Data Science","","No",0,"Yes","Yes","Yes","Yes","Yes","No","Java, Python, R, SQL, C.C..","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","Career.fair","Data Scientist","Yes","No","Yes","No","No","Yes","full time","In person","United States","Pennsylvania","Manufacturing",3,"Spark, Jupyter Notebook, D3.js, Alteryx",2,"Data Visualization","Java, Python, R, SQL, C.C..","Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, PSTAT.160A.160B, PSTAT.131","NumPy, Pandas",274
"Female",2028,"No","Computer Science/Computer Engineering","","No",0,"Yes","No","No","No","No","Yes","Java","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Engineer","No","No","No","Yes","Yes","No","internship","No preference","United States","California","Tech",3,"Power BI, Spark, Apache Kafka, SPSS, Jupyter Notebook, BigQuery, Hive",0,"Machine Learning, Predictive Analytics","Java, SAS","Calculus.Math.3A.Math.3B.AP.Calc","",275
"Male",2028,"No","Statistics & Data Science","","No",0,"Yes","Yes","No","No","Yes","No","Java, Python, C.C..","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Scientist","No","Yes","No","No","Yes","No","internship","No preference","Canada","","Tech",1,"Spark, Airflow, AWS (Amazon Web Services), GCP (Google Cloud Platform), Jupyter Notebook, D3.js, BigQuery, Snowflake",4,"Machine Learning, Deep Learning, Natural Language Processing","Java, Python, C.C..","Calculus.Math.3A.Math.3B.AP.Calc","NumPy",276
"Male",2026,"No","Economics/Economics & Accounting, Statistics & Data Science","","No",0,"No","Yes","Yes","Yes","No","No","Python, R, SQL","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","Yes","Career.fair, Professional.workshops, Technical.workshops, Project.groups","Data Analyst","Yes","No","No","No","Yes","No","internship","Remote","Australia","","Finance",0,"Databricks, SAS, SPSS, D3.js, Alteryx, Hive, Snowflake",3,"Data Visualization, Deep Learning, Data Wrangling","Python, R, SQL","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A","NumPy",277
"Female",2026,"No","Mathematics/Applied Mathematics","stats","Yes",2,"No","Yes","No","No","No","No","Python","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks","Data Engineer","No","Yes","Yes","Yes","Yes","No","internship","No preference","United Kingdom","","Tech",5,"AWS (Amazon Web Services), Azure, RapidMiner, Hive, Snowflake",4,"Machine Learning, Deep Learning, Data Wrangling","Python, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.120A, Math.117, Math.108A","NumPy, Pandas",278
"Male",2026,"No","Statistics & Data Science","","No",0,"No","Yes","Yes","Yes","Yes","No","Python, R, SQL, C.C..","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Project.groups","Data Scientist","Yes","Yes","Yes","Yes","Yes","No","internship","In person","Canada","","Tech",5,"GCP (Google Cloud Platform), Databricks, SAS, SPSS, Alteryx, Snowflake",4,"Deep Learning, Natural Language Processing, Predictive Analytics","Python, R, SQL, C.C.., SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, PSTAT.160A.160B","NumPy",279
"Female",2026,"No","Statistics & Data Science","","No",1,"No","Yes","Yes","Yes","No","No","Python, R, SQL","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Scientist","No","No","Yes","Yes","Yes","No","internship","In person","United States","Florida","Tech",4,"Airflow, RapidMiner",3,"Data Visualization, Deep Learning, Data Wrangling","Python, R, SQL, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126","NumPy, Scikit.learn",280
"Male",2026,"No","Economics/Economics & Accounting, Statistics & Data Science","","No",0,"No","Yes","Yes","No","No","No","Python, R","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes","Yes","Career.fair, Technical.workshops, Social.events, Project.groups","Data Engineer","Yes","Yes","No","Yes","Yes","No","internship","No preference","United States","Ohio","Retail",7,"Power BI, Apache Kafka, Airflow, Azure, Databricks, Jupyter Notebook, Alteryx, Snowflake",4,"","Python, R, SAS","CS.9, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A","NumPy, Pandas, SciPy",281
"Female",2026,"No","Statistics & Data Science","Art and technology","Yes",1,"No","Yes","Yes","Yes","No","No","Python, R, SQL","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Analyst","Yes","Yes","No","Yes","Yes","No","internship","No preference","United States","Illinois","Manufacturing",3,"Tableau, Power BI, Excel, Hadoop, Apache Kafka, Azure, Databricks, SAS, SPSS, Jupyter Notebook, D3.js, RapidMiner, Alteryx, Hive",0,"Deep Learning, Data Wrangling","Python, R, SQL, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, Math.108A","NumPy, PyTorch",282
"Female",2027,"No","Statistics & Data Science","","No",0,"Yes","Yes","No","No","Yes","Yes","Java, Python, C.C..","No","No","No","No","No","No","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Scientist","No","Yes","No","Yes","Yes","No","internship","No preference","United States","Ohio","Tech",2,"Power BI, Spark, Alteryx",0,"","Java, Python, C.C.., SAS","Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, PSTAT.10","",283
"Male",2026,"Yes","Statistics & Data Science","","No",0,"No","Yes","No","No","No","No","Python","No","Yes","No","No","No","No","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Engineer","No","Yes","No","No","Yes","No","internship","Remote","Australia","","Tech",2,"Excel, Spark, Apache Kafka, SAS, SPSS, D3.js, RapidMiner",2,"Data Wrangling","Python","Calculus.Math.3A.Math.3B.AP.Calc, PSTAT.10","Pandas",284
"Male",2028,"No","Computer Science/Computer Engineering","","No",0,"Yes","Yes","No","No","Yes","Yes","Java, Python, C.C..","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Engineer","No","No","Yes","Yes","Yes","No","internship","In person","United States","Ohio","Education",0,"Power BI, Airflow, Databricks, SAS, SPSS, D3.js, BigQuery",2,"Natural Language Processing","Java, Python, C.C.., SAS","","NumPy, Pandas, Scikit.learn",285
"Male",2026,"Yes","Actuarial Science, Statistics & Data Science","","No",3,"Yes","Yes","Yes","No","Yes","No","Java, Python, R, C.C..","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes","No","No","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks","Data Scientist","Yes","Yes","No","Yes","Yes","No","internship","In person","United States","New York","Tech",7,"Tableau, Excel, Hadoop, Jupyter Notebook",0,"Machine Learning","Java, Python, R, C.C.., SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, CS.165A.165B","NumPy, Pandas",286
"Male",2026,"Yes","Statistics & Data Science","n/a","No",1,"No","Yes","Yes","Yes","Yes","No","Python, R, SQL, C.C..","No","Yes","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Engineer","Yes","Yes","No","No","Yes","No","internship","No preference","United States","Texas","Tech",2,"Excel, Databricks, SAS, SPSS, Jupyter Notebook, D3.js, RapidMiner, Snowflake",4,"","Python, R, SQL, C.C..","Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A","Pandas",287
"Male",2025,"No","Statistics & Data Science","","No",0,"No","Yes","Yes","Yes","No","No","Python, R, SQL","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","No","No","Yes","No","No","Career.fair, Company.talks...Data.talks","Data Engineer","No","Yes","Yes","Yes","No","Yes","full time","In person","United States","New York","Finance",1,"Power BI, Airflow, AWS (Amazon Web Services), SAS, Alteryx",2,"Machine Learning, Deep Learning, Data Wrangling","Python, R, SQL, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126","NumPy, Pandas, SciPy, Scikit.learn",288
"Male",2026,"Yes","Statistics & Data Science","None","No",1,"No","Yes","No","No","Yes","No","Python, C.C..","No","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Engineer","No","No","Yes","Yes","Yes","No","internship","No preference","United Kingdom","","Manufacturing",5,"Power BI, Apache Kafka, Azure",0,"Machine Learning, Deep Learning","Python, C.C.., SAS","Calculus.Math.3A.Math.3B.AP.Calc, Math.6A","Pandas",289
"Male",2028,"No","Physics","","No",0,"Yes","Yes","No","No","Yes","No","Java, Python, C.C..","Yes","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Analyst","No","No","No","No","Yes","No","internship","Remote","United Kingdom","","Healthcare",5,"Power BI, Excel, Hadoop, Spark, Apache Kafka, Airflow, GCP (Google Cloud Platform), Azure, Databricks, SPSS, D3.js",2,"Machine Learning, Predictive Analytics","Java, Python, C.C..","PSTAT.10","NumPy",290
"Female",2027,"No","Statistics & Data Science","","No",0,"No","Yes","Yes","No","No","No","Python, R","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Scientist","Yes","Yes","No","No","Yes","No","internship","In person","Canada","","Tech",5,"Spark, Airflow, GCP (Google Cloud Platform), Azure, SPSS, D3.js, Snowflake",2,"Machine Learning","Python, R","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10","",291
"Male",2026,"No","Statistics & Data Science","","No",0,"No","Yes","No","No","No","No","Python","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Career.fair, Professional.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Analyst","Yes","Yes","Yes","No","Yes","No","internship","No preference","United States","Illinois","Tech",4,"Tableau, Power BI, SPSS, BigQuery",1,"Data Visualization, Data Wrangling","Python","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B","",292
